Id,Label,x,y
0,Collaborator 29,436.706848,-514.745972
1,Faculty 5,274.851593,413.555084
2,Collaborator 164,313.04071,518.897156
3,Collaborator 165,454.717834,-139.267593
4,Collaborator 30,351.117859,-507.080475
5,Collaborator 112,-158.697922,377.374634
6,Collaborator 70,-565.699829,-402.574219
7,Doctoral Fellow 7,61.777611,665.012634
8,Collaborator 31,-576.223267,478.600067
9,Collaborator 71,-241.514114,453.030426
10,Collaborator 145,-483.099487,4.729441
11,Affiliate Student 1,-473.218933,259.860718
12,Collaborator 166,532.222412,506.812012
13,Collaborator 32,-327.600403,622.529419
14,Faculty 22,318.883026,87.103851
15,Faculty 6,505.23764,-180.551132
16,Collaborator 167,-281.142548,-573.821228
17,Doctoral Fellow 8,285.026825,84.739487
18,Collaborator 168,-261.185547,-511.510773
19,Faculty 16,232.511292,-140.490417
20,Collaborator 72,-65.075783,-640.975525
21,Collaborator 73,452.526978,217.567398
22,Faculty 11,-451.550079,184.556213
23,Collaborator 74,74.453285,610.899963
24,Collaborator 33,-21.711401,714.89563
25,Collaborator 169,-297.288452,-545.161377
26,Collaborator 170,-263.023285,-542.947998
27,Collaborator 75,125.524521,622.53656
28,Collaborator 171,-119.674599,-534.09436
29,Collaborator 16,-245.198792,-17.548012
30,Collaborator 76,-558.102112,-373.7164
31,Collaborator 146,200.01532,-235.168793
32,Faculty 1,-289.651917,-24.354681
33,Collaborator 172,-537.470337,-74.238342
34,Affiliate Student 5,274.083221,70.786888
35,Collaborator 34,413.921234,-408.355865
36,Collaborator 113,418.162384,551.291687
37,Collaborator 147,402.24054,254.444107
38,Collaborator 114,171.676102,-136.079819
39,Collaborator 1,227.277008,547.332397
40,Collaborator 2,-278.531464,618.794678
41,Affiliate Student 2,-458.55719,-25.464165
42,Collaborator 148,-520.26062,89.097374
43,Collaborator 35,377.259521,-493.92923
44,Collaborator 173,-284.949951,-491.040894
45,Collaborator 115,195.731522,-127.668839
46,Collaborator 149,327.960754,-307.291595
47,Collaborator 36,-154.082062,-43.188393
48,Collaborator 3,-485.647797,296.852417
49,Collaborator 77,96.677826,594.732788
50,Collaborator 78,354.564484,-286.017639
51,Collaborator 79,-126.656357,-580.03418
52,Doctoral Fellow 1,-283.224426,590.02771
53,Doctoral Fellow 15,-392.076599,228.817856
54,Collaborator 174,522.37616,518.64801
55,Collaborator 116,190.829483,-166.362839
56,Collaborator 150,418.047607,265.450592
57,Affiliate Student 4,595.907288,-177.092621
58,Collaborator 80,476.29599,199.922348
59,Collaborator 117,243.564865,-204.077255
60,Collaborator 37,353.10733,-477.079102
61,Faculty 2,302.429596,560.887695
62,Faculty 23,531.443848,543.032349
63,Collaborator 175,422.388824,-132.822327
64,Collaborator 17,218.219772,348.069824
65,Collaborator 81,293.328247,-199.335434
66,Collaborator 38,-169.549805,-35.9534
67,Collaborator 4,-518.374634,-23.205742
68,Collaborator 82,-576.972778,-378.892181
69,Collaborator 83,-63.563797,-616.946167
70,Collaborator 18,-229.057297,-14.165965
71,Collaborator 84,423.187347,230.09906
72,Collaborator 85,-87.258125,-624.472412
73,Faculty 18,-366.863922,236.128082
74,Collaborator 118,-188.308655,374.226166
75,Collaborator 176,201.961304,-77.696304
76,Collaborator 151,344.611389,-235.248169
77,Collaborator 152,285.857483,301.62616
78,Collaborator 39,-28.164412,699.92688
79,Collaborator 177,435.777069,-158.319305
80,Doctoral Fellow 11,504.68869,209.085022
81,Collaborator 19,-98.62191,-540.522217
82,Collaborator 40,-162.759399,-59.145542
83,Collaborator 119,-614.534119,497.29895
84,Collaborator 120,470.067169,-312.378693
85,Collaborator 5,-474.851135,305.446533
86,Collaborator 86,188.760895,631.829224
87,Collaborator 121,-204.759857,524.982544
