ColNumber,ParticipantGroup,QuestionGroup,Item,Type,Variable,Text,QualtricsImportId,Y2019,Y2020,Y2021,Y2022,Y2023,Keep
1,All,Meta,Meta,Meta,Year,Year,Modification,1,1,1,1,1,1
2,All,Meta,Meta,Meta,StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}",1,1,1,1,1,1
3,All,Meta,Meta,Meta,EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/New_York""}",0,1,1,1,1,1
4,All,Meta,Meta,Meta,RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}",0,1,1,1,1,1
5,All,Meta,Meta,Meta,Progress,Progress,"{""ImportId"":""progress""}",0,1,1,1,1,1
6,All,Meta,Meta,Meta,Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",0,1,1,1,1,0
7,All,Meta,Meta,Meta,Finished,Finished,"{""ImportId"":""finished""}",0,1,1,1,1,0
8,All,Meta,Meta,Meta,Remove,Remove,Modification,1,1,1,1,1,1
9,All,Meta,Meta,Meta,ResponseId,Response ID,"{""ImportId"":""_recordId""}",1,1,1,1,1,1
10,All,Meta,Meta,Meta,Role,Role,Modification,1,1,1,1,1,1
11,All,Meta,Meta,Meta,Affiliate,Affiliate,"{""ImportId"":""Affiliate""}",1,1,1,1,1,0
12,All,Meta,Meta,Meta,Mentee,Mentee,"{""ImportId"":""Mentee""}",1,1,1,1,1,0
13,All,Meta,Meta,Meta,Mentor,Mentor,"{""ImportId"":""Mentor""}",1,1,1,1,1,0
14,All,Meta,Meta,Meta,Administrator,Administrator,Modification,1,1,1,1,1,0
15,All,Meta,Meta,Meta,DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",1,1,1,1,1,1
16,All,Meta,Meta,Meta,UserLanguage,User Language,"{""ImportId"":""userLanguage""}",1,1,1,1,1,1
17,All,NRT Goals,Overall Goals,LIKERT,Q123,NRT program is on track to achieve its goals.,"{""ImportId"":""QID123""}",1,1,1,1,1,1
18,All,NRT Goals,Disseminate Research,LIKERT,Q2,"NRT program (e.g.,  (virtual) colloquium series, annual showcase, and informal events) has helped disseminate the latest research findings on Complex Networks and Systems.","{""ImportId"":""QID5""}",1,1,1,1,1,1
19,All,NRT Goals,Local Awareness,LIKERT,Q1,"NRT program (e.g., open house, extended colloquium series, annual showcase) has helped increase awareness of Complex Networks and Systems  within the Indiana University.","{""ImportId"":""QID3""}",1,1,1,1,1,1
20,All,NRT Goals,National Awareness,LIKERT,Q120,"NRT program (e.g. open house, extended colloquium series, annual showcase) has helped increase awareness of Complex Networks and Systems nationally.","{""ImportId"":""QID120""}",1,1,1,1,1,1
21,All,COVID,COVID,LIKERT,Q158,The COVID-19 pandemic has impacted your participation in the NRT program.,"{""ImportId"":""QID158""}",0,0,1,1,1,1
22,All,COVID,Comments,Qual,Q155,Please use the space below to share thoughts or comments about how the COVID-19 pandemic impacted your participation in the NRT program.,"{""ImportId"":""QID155_TEXT""}",0,0,1,1,1,1
23,Faculty,Mentorship,Mentorship,YN,Q149,Did you have an opportunity to mentor an NRT student?,"{""ImportId"":""QID149""}",,1,1,1,1,1
24,Faculty,Mentorship,Presentation,LIKERT,Q126_1,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve my mentees’ presentation skills.","{""ImportId"":""QID126_1""}",,1,1,1,1,1
25,Faculty,Mentorship,Publications,LIKERT,Q126_2,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve the quality and quantity of my mentees’ publications.","{""ImportId"":""QID126_2""}",,1,1,1,1,1
26,Faculty,Mentorship,Grants,LIKERT,Q126_3,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve the quality and quantity of my mentees’ grant proposals.","{""ImportId"":""QID126_3""}",,1,1,1,1,1
27,Faculty,Mentorship,Research,LIKERT,Q126_4,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve my mentees’ research skills.","{""ImportId"":""QID126_4""}",,1,1,1,1,1
28,Faculty,Mentorship,Help,YN,Q36,Did the mentorship you provided to a mentee or mentees help the individuals in other ways not noted above?,"{""ImportId"":""QID43""}",,1,1,1,1,1
29,Faculty,Mentorship,Help,Qual,Q36T,Please describe.,"{""ImportId"":""QID44_TEXT""}",,1,1,1,1,1
30,Faculty,Mentorship,Comments,Qual,Q38,Please use the space below to share thoughts or comments about your NRT mentoring experience not captured by the previous questions.,"{""ImportId"":""QID46_TEXT""}",,1,1,1,1,1
31,Doctoral Fellow,Program Impact,Presentation,LIKERT,Q129_1,The NRT program has had a positive effect on ... - my presentation skills,"{""ImportId"":""QID129_1""}",,1,1,1,1,1
