"Year","Role","ResponseId","Variable","Value","Group","Item"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_0_GROUP","Colloquium series,Affiliate style summer research opportunities,CNS dual-degree doctoral programs,Interdisciplinary mentorships","Group","As Is"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_1_GROUP","Research showcase,Interdisciplinary skills training opportunities,CNS research skills training opportunities","Group","Adapt"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_0_1_RANK","1","Rank-As Is","Colloquium"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_0_3_RANK","2","Rank-As Is","Affiliate Research"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_0_4_RANK","3","Rank-As Is","CNS Dual PhD Program"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_0_5_RANK","4","Rank-As Is","Interdisciplinary Mentorships"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_1_2_RANK","1","Rank-Adapt","Research Showcase"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_1_6_RANK","2","Rank-Adapt","Interdisciplinary Skills Training"
2022,"Fellow","R_1CsgGgOAuRmBlLa","Q159_1_7_RANK","3","Rank-Adapt","CNS Research Skills Training"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_0_GROUP","CNS dual-degree doctoral programs","Group","As Is"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_1_GROUP","Colloquium series,Research showcase,Affiliate style summer research opportunities,Interdisciplinary mentorships,Interdisciplinary skills training opportunities,CNS research skills training opportunities","Group","Adapt"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_0_4_RANK","1","Rank-As Is","CNS Dual PhD Program"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_1_1_RANK","1","Rank-Adapt","Colloquium"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_1_2_RANK","2","Rank-Adapt","Research Showcase"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_1_3_RANK","3","Rank-Adapt","Affiliate Research"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_1_5_RANK","4","Rank-Adapt","Interdisciplinary Mentorships"
2022,"Faculty","R_1FQ9qFRHuqFgeD3","Q159_1_6_RANK","5","Rank-Adapt","Interdisciplinary Skills Training"
