"Variable","Label","ImportJSON"
"Year","Year","Year"
"Role","Role","Role"
"RecordedDate","Recorded Date","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}"
"ResponseId","Response ID","{""ImportId"":""_recordId""}"
"Progress","Progress","{""ImportId"":""progress""}"
"Remove","Remove","Remove"
"Q149","Did you have an opportunity to mentor an NRT student?","{""ImportId"":""QID149""}"
"Q126_1","My mentorship has helped to - improve my mentees’ presentation skills.","{""ImportId"":""QID126_1""}"
"Q126_2","My mentorship has helped to - improve the quality and quantity of my mentees’ publications.","{""ImportId"":""QID126_2""}"
"Q126_3","My mentorship has helped to - improve the quality and quantity of my mentees’ grant proposals.","{""ImportId"":""QID126_3""}"
"Q126_4","My mentorship has helped to - improve my mentees’ research skills.","{""ImportId"":""QID126_4""}"
"Q36","Did the mentorship you provided to a mentee or mentees help the individuals in other ways not noted above?","{""ImportId"":""QID43""}"
"Q36T","How did the mentorship you provided to a mentee or mentees help the individuals in other ways not noted above?","{""ImportId"":""QID44_TEXT""}"
"Q38","Please use the space below to share thoughts or comments about your NRT mentoring experience not captured by the previous questions.","{""ImportId"":""QID46_TEXT""}"
