"Variable","Label","ImportJSON"
"Year","Year","Year"
"Role","Role","Role"
"RecordedDate","Recorded Date","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}"
"ResponseId","Response ID","{""ImportId"":""_recordId""}"
"Progress","Progress","{""ImportId"":""progress""}"
"Remove","Remove","Remove"
"Q129_1","The NRT program has had a positive effect on ... - my presentation skills","{""ImportId"":""QID129_1""}"
"Q129_2","The NRT program has had a positive effect on ... - my writing skills","{""ImportId"":""QID129_2""}"
"Q129_3","The NRT program has had a positive effect on ... - my networking skills","{""ImportId"":""QID129_3""}"
"Q129_4","The NRT program has had a positive effect on ... - my technical skills","{""ImportId"":""QID129_5""}"
"Q129_5","The NRT program has had a positive effect on ... - my grant writing skills","{""ImportId"":""QID129_6""}"
"Q137_1","I feel like I am a part of the CNS NRT community.","{""ImportId"":""QID136_1""}"
"Q137_2","I am satisfied with my progress through my PhD program Milestones.","{""ImportId"":""QID136_2""}"
"Q137_3","I am satisfied with my second PhD program.","{""ImportId"":""QID136_5""}"
"Q137_4","In general, I am satisfied with my CNS mentoring.","{""ImportId"":""QID136_6""}"
"Q137_5","In general, I am satisfied with the CNS program.","{""ImportId"":""QID136_3""}"
"Q133","If you are not satisfied with the CNS NRT, please feel free to add any comments.","{""ImportId"":""QID133_TEXT""}"
"Q48","The process of preparing and submitting my work to the NRT Annual Showcase has helped improve the quality of my work (e.g., proposal, grant idea or manuscript).","{""ImportId"":""QID59""}"
"Q49","The process of preparing and submitting my work to the NRT Annual Showcase has helped improve my research skills.","{""ImportId"":""QID60""}"
"Q50","The process of preparing and submitting my work to the NRT Annual Showcase has helped me form new research collaborations.","{""ImportId"":""QID61""}"
"Q148","If you submitted a paper draft at the Showcase, have you subsequently submitted that draft for publication?","{""ImportId"":""QID148""}"
"Q51","If you submitted a research proposal at the Showcase, have you subsequently submitted that proposal?","{""ImportId"":""QID63""}"
"Q53","Do you feel that the process of preparing and submitting your work to the NRT Annual Showcase helped to advance your skills in any other way?","{""ImportId"":""QID69""}"
"Q53a","In what ways do you feel that the process of preparing and submitting your work to the NRT Annual Showcase helped to advance your skills in any other way?","{""ImportId"":""QID70_TEXT""}"
"Q53b","How could the NRT Annual Showcase have better helped you to advance your skills?","{""ImportId"":""QID71_TEXT""}"
