"Venue","Publications"
"Proceedings of the National Academy of Sciences of the United States of America",9
"Entropy",4
"Network Neuroscience",3
"Neuroimage",3
"Plos One",3
"Scientific Reports",3
"Imaging Neuroscience",2
"Journal of Rural Studies",2
"Nature Communications",2
"Plos Computational Biology",2
"AIDS and Behavior",1
"Agricultural Systems",1
"Archives of Sexual Behavior",1
"Arts",1
"BMC Medicine",1
"Big Data & Society",1
"Bioinformatics",1
"Bulletin of the American Physical Society",1
"Clinical Pharmacology & Therapeutics",1
"Communications Biology",1
"Database-the Journal of Biological Databases and Curation",1
"Exploration of medicine",1
"Frontiers in Cell and Developmental Biology",1
"Frontiers in Immunology",1
"Frontiers in Neuroscience",1
"Frontiers in Physiology",1
"Frontiers in Research Metrics and Analytics",1
"Frontiers in Systems Neuroscience",1
"Gigabyte",1
"Harm Reduction Journal",1
"Information Communication & Society",1
"Iscience",1
"Jco Clinical Cancer Informatics",1
"Journal of Communication",1
"Journal of Complex Networks",1
"Journal of Medical Internet Research",1
"Journal of Physics-Complexity",1
"Journal of Sex & Marital Therapy",1
"Journal of the Royal Society Interface",1
"Journalism & Mass Communication Quarterly",1
"NPJ Digital Medicine",1
"Nature Physics",1
"Nature Reviews Physics",1
"Network Science In Education: Transformational Approaches in Teaching and Learning",1
"New Media & Society",1
"Philosophical Transactions of the Royal Society A",1
"Physical Review X",1
"Proceedings of the ACM on Human-computer Interaction",1
"Royal Society Open Science",1
"Science Advances",1
"Transportation Research Part B-Methodological",1
